Arrondissement,Code arrondissement,Latitude,Longitude
Ahuntsic-Cartierville,1,45.537151,-73.708394
Ahuntsic-Cartierville,1,45.538354,-73.70409
Ahuntsic-Cartierville,1,45.539964,-73.705164
Ahuntsic-Cartierville,1,45.540608,-73.702478
Ahuntsic-Cartierville,1,45.542025,-73.703913
Ahuntsic-Cartierville,1,45.542758,-73.699414
Ahuntsic-Cartierville,1,45.54478,-73.697019
Ahuntsic-Cartierville,1,45.544474,-73.692543
Ahuntsic-Cartierville,1,45.548352,-73.682149
Ahuntsic-Cartierville,1,45.544539,-73.682258
Ahuntsic-Cartierville,1,45.547004,-73.678728
Ahuntsic-Cartierville,1,45.546564,-73.675868
Ahuntsic-Cartierville,1,45.548336,-73.675106
Ahuntsic-Cartierville,1,45.549502,-73.673991
Ahuntsic-Cartierville,1,45.550373,-73.672845
Ahuntsic-Cartierville,1,45.551833,-73.672858
Ahuntsic-Cartierville,1,45.55345,-73.671556
Ahuntsic-Cartierville,1,45.55495,-73.670427
Ahuntsic-Cartierville,1,45.556887,-73.669657
Ahuntsic-Cartierville,1,45.554493,-73.664155
Ahuntsic-Cartierville,1,45.553206,-73.667432
Ahuntsic-Cartierville,1,45.550734,-73.665332
Ahuntsic-Cartierville,1,45.550607,-73.66893
Ahuntsic-Cartierville,1,45.549524,-73.670014
Ahuntsic-Cartierville,1,45.548411,-73.667141
Ahuntsic-Cartierville,1,45.547894,-73.670564
Ahuntsic-Cartierville,1,45.546243,-73.668053
Ahuntsic-Cartierville,1,45.543967,-73.66945
Ahuntsic-Cartierville,1,45.542253,-73.670531
Ahuntsic-Cartierville,1,45.540703,-73.671745
Ahuntsic-Cartierville,1,45.541509,-73.674753
Ahuntsic-Cartierville,1,45.544431,-73.672701
Ahuntsic-Cartierville,1,45.538695,-73.676113
Ahuntsic-Cartierville,1,45.539759,-73.680986
Ahuntsic-Cartierville,1,45.538193,-73.680999
Ahuntsic-Cartierville,1,45.539491,-73.683413
Ahuntsic-Cartierville,1,45.536653,-73.678147
Ahuntsic-Cartierville,1,45.536608,-73.677018
Ahuntsic-Cartierville,1,45.534987,-73.686989
Ahuntsic-Cartierville,1,45.532661,-73.684706
Ahuntsic-Cartierville,1,45.533461,-73.682649
Ahuntsic-Cartierville,1,45.531465,-73.688222
Ahuntsic-Cartierville,1,45.53271,-73.690835
Ahuntsic-Cartierville,1,45.534799,-73.690467
Ahuntsic-Cartierville,1,45.533176,-73.693385
Ahuntsic-Cartierville,1,45.535506,-73.693633
Ahuntsic-Cartierville,1,45.534492,-73.695569
Ahuntsic-Cartierville,1,45.534979,-73.697479
Ahuntsic-Cartierville,1,45.537804,-73.697023
Ahuntsic-Cartierville,1,45.539208,-73.696182
Ahuntsic-Cartierville,1,45.540244,-73.698121
Ahuntsic-Cartierville,1,45.538789,-73.699836
Ahuntsic-Cartierville,1,45.540874,-73.693291
Ahuntsic-Cartierville,1,45.540421,-73.689477
Ahuntsic-Cartierville,1,45.53722,-73.692548
Ahuntsic-Cartierville,1,45.542001,-73.688362
Ahuntsic-Cartierville,1,45.543925,-73.688319
Ahuntsic-Cartierville,1,45.533777,-73.702186
Ahuntsic-Cartierville,1,45.531715,-73.699652
Ahuntsic-Cartierville,1,45.529766,-73.701971
Ahuntsic-Cartierville,1,45.528548,-73.697126
Ahuntsic-Cartierville,1,45.528326,-73.703789
Ahuntsic-Cartierville,1,45.558443,-73.664718
Ahuntsic-Cartierville,1,45.559477,-73.664056
Ahuntsic-Cartierville,1,45.560478,-73.663401
Ahuntsic-Cartierville,1,45.563303,-73.663423
Ahuntsic-Cartierville,1,45.56204,-73.663619
Ahuntsic-Cartierville,1,45.56173,-73.660261
Ahuntsic-Cartierville,1,45.559855,-73.659902
Ahuntsic-Cartierville,1,45.560214,-73.656106
Ahuntsic-Cartierville,1,45.558243,-73.657256
Ahuntsic-Cartierville,1,45.556558,-73.65826
Ahuntsic-Cartierville,1,45.55775,-73.661159
Ahuntsic-Cartierville,1,45.556023,-73.654973
Ahuntsic-Cartierville,1,45.556021,-73.651991
Ahuntsic-Cartierville,1,45.558839,-73.652089
Ahuntsic-Cartierville,1,45.561579,-73.652329
Ahuntsic-Cartierville,1,45.562556,-73.649354
Ahuntsic-Cartierville,1,45.564453,-73.647657
Ahuntsic-Cartierville,1,45.561108,-73.646156
Ahuntsic-Cartierville,1,45.562236,-73.641085
Ahuntsic-Cartierville,1,45.560702,-73.641647
Ahuntsic-Cartierville,1,45.559882,-73.638291
Ahuntsic-Cartierville,1,45.55791,-73.640822
Ahuntsic-Cartierville,1,45.557091,-73.638712
Ahuntsic-Cartierville,1,45.558998,-73.63577
Ahuntsic-Cartierville,1,45.557433,-73.630442
Ahuntsic-Cartierville,1,45.55545,-73.628101
Ahuntsic-Cartierville,1,45.553956,-73.62905
Ahuntsic-Cartierville,1,45.55425,-73.626754
Ahuntsic-Cartierville,1,45.554523,-73.632919
Ahuntsic-Cartierville,1,45.552337,-73.636746
Ahuntsic-Cartierville,1,45.549292,-73.638376
Ahuntsic-Cartierville,1,45.546014,-73.641018
Ahuntsic-Cartierville,1,45.547621,-73.639846
Ahuntsic-Cartierville,1,45.548947,-73.643101
Ahuntsic-Cartierville,1,45.550308,-73.642198
Ahuntsic-Cartierville,1,45.552982,-73.64404
Ahuntsic-Cartierville,1,45.555208,-73.643968
Ahuntsic-Cartierville,1,45.556769,-73.646099
Ahuntsic-Cartierville,1,45.558471,-73.64431
Ahuntsic-Cartierville,1,45.566965,-73.645215
Ahuntsic-Cartierville,1,45.567856,-73.648009
Ahuntsic-Cartierville,1,45.569781,-73.646416
Ahuntsic-Cartierville,1,45.569697,-73.650428
Ahuntsic-Cartierville,1,45.571339,-73.649051
Ahuntsic-Cartierville,1,45.570676,-73.652997
Ahuntsic-Cartierville,1,45.568202,-73.651578
Ahuntsic-Cartierville,1,45.566577,-73.652459
Ahuntsic-Cartierville,1,45.565191,-73.649538
Ahuntsic-Cartierville,1,45.564292,-73.653111
Ahuntsic-Cartierville,1,45.565605,-73.6565
Ahuntsic-Cartierville,1,45.563868,-73.657584
Ahuntsic-Cartierville,1,45.566031,-73.659327
Ahuntsic-Cartierville,1,45.564065,-73.660343
Ahuntsic-Cartierville,1,45.56525,-73.661828
Ahuntsic-Cartierville,1,45.567921,-73.662136
Ahuntsic-Cartierville,1,45.56978,-73.659672
Ahuntsic-Cartierville,1,45.56792,-73.657068
Ahuntsic-Cartierville,1,45.570894,-73.656302
Ahuntsic-Cartierville,1,45.57209,-73.659429
Ahuntsic-Cartierville,1,45.573646,-73.657875
Ahuntsic-Cartierville,1,45.573308,-73.654725
Ahuntsic-Cartierville,1,45.575061,-73.653773
Ahuntsic-Cartierville,1,45.573617,-73.650869
Ahuntsic-Cartierville,1,45.575914,-73.649147
Ahuntsic-Cartierville,1,45.577111,-73.652119
Ahuntsic-Cartierville,1,45.57833,-73.65032
Ahuntsic-Cartierville,1,45.57948,-73.65403
Ahuntsic-Cartierville,1,45.580428,-73.653289
Ahuntsic-Cartierville,1,45.580969,-73.649998
Ahuntsic-Cartierville,1,45.578735,-73.646574
Ahuntsic-Cartierville,1,45.577442,-73.642134
Ahuntsic-Cartierville,1,45.575298,-73.660995
Ahuntsic-Cartierville,1,45.575764,-73.656391
Ahuntsic-Cartierville,1,45.575415,-73.638286
Ahuntsic-Cartierville,1,45.573643,-73.639773
Ahuntsic-Cartierville,1,45.5723,-73.642401
Ahuntsic-Cartierville,1,45.574651,-73.643426
Ahuntsic-Cartierville,1,45.574242,-73.646605
Ahuntsic-Cartierville,1,45.573043,-73.647614
Ahuntsic-Cartierville,1,45.570929,-73.644295
Ahuntsic-Cartierville,1,45.522966,-73.736951
Ahuntsic-Cartierville,1,45.51756,-73.739612
Ahuntsic-Cartierville,1,45.514759,-73.749865
Ahuntsic-Cartierville,1,45.510281,-73.750338
Ahuntsic-Cartierville,1,45.558318,-73.63387
Ahuntsic-Cartierville,1,45.533116,-73.678182
Ahuntsic-Cartierville,1,45.526109,-73.712838
Ahuntsic-Cartierville,1,45.532955,-73.714728
Ahuntsic-Cartierville,1,45.533626,-73.668668
Ahuntsic-Cartierville,1,45.544807,-73.6982
Ahuntsic-Cartierville,1,45.531933,-73.653804
Anjou,2,45.595915,-73.561982
Anjou,2,45.594694,-73.558336
Anjou,2,45.59339,-73.554878
Anjou,2,45.593397,-73.552437
Anjou,2,45.594848,-73.551129
Anjou,2,45.592507,-73.549596
Anjou,2,45.593521,-73.547963
Anjou,2,45.611567,-73.546191
Anjou,2,45.60919,-73.5459
Anjou,2,45.608592,-73.548201
Anjou,2,45.606574,-73.550849
Anjou,2,45.604908,-73.548763
Anjou,2,45.602872,-73.547806
Anjou,2,45.603012,-73.544244
Anjou,2,45.605741,-73.544141
Anjou,2,45.604932,-73.54121
Anjou,2,45.607521,-73.542754
Anjou,2,45.604919,-73.538857
Anjou,2,45.598184,-73.546497
Anjou,2,45.600052,-73.549736
Anjou,2,45.602268,-73.552927
Anjou,2,45.603393,-73.556038
Anjou,2,45.604785,-73.55656
Anjou,2,45.605839,-73.556513
Anjou,2,45.606583,-73.55599
Anjou,2,45.605653,-73.551524
Anjou,2,45.609337,-73.554007
Anjou,2,45.610834,-73.553249
Anjou,2,45.610898,-73.556424
Anjou,2,45.612134,-73.553101
Anjou,2,45.612913,-73.552412
Anjou,2,45.61094,-73.549239
Anjou,2,45.613476,-73.551909
Anjou,2,45.614231,-73.551271
Anjou,2,45.615521,-73.552204
Anjou,2,45.615703,-73.554585
Anjou,2,45.617872,-73.553054
Anjou,2,45.614094,-73.555836
Anjou,2,45.611678,-73.558539
Anjou,2,45.608384,-73.557203
Anjou,2,45.608866,-73.56014
Anjou,2,45.60731,-73.560357
Anjou,2,45.605785,-73.560844
Anjou,2,45.604198,-73.559928
Anjou,2,45.598483,-73.555105
Anjou,2,45.595777,-73.549037
Anjou,2,45.59701,-73.558014
Anjou,2,45.596351,-73.554645
Anjou,2,45.599777,-73.575475
Anjou,2,45.601637,-73.577895
Anjou,2,45.602556,-73.581446
Anjou,2,45.603187,-73.578905
Anjou,2,45.603314,-73.576335
Anjou,2,45.605515,-73.579034
Anjou,2,45.607246,-73.578211
Anjou,2,45.607493,-73.581262
Anjou,2,45.606797,-73.583381
Anjou,2,45.604258,-73.58404
Anjou,2,45.608307,-73.594906
Anjou,2,45.608096,-73.576344
Anjou,2,45.618513,-73.542185
Anjou,2,45.615705,-73.549204
Anjou,2,45.613797,-73.547422
Anjou,2,45.601881,-73.570529
Anjou,2,45.600218,-73.574029
Anjou,2,45.602488,-73.573426
Beaconsfield,3,45.439124,-73.861434
Beaconsfield,3,45.435439,-73.859777
Beaconsfield,3,45.439685,-73.856585
Beaconsfield,3,45.435705,-73.852765
Beaconsfield,3,45.435779,-73.849847
Beaconsfield,3,45.439844,-73.847209
Beaconsfield,3,45.441648,-73.852357
Beaconsfield,3,45.444258,-73.846738
Beaconsfield,3,45.443227,-73.843378
Beaconsfield,3,45.439305,-73.841919
Beaconsfield,3,45.433305,-73.836999
Beaconsfield,3,45.434263,-73.839049
Beaconsfield,3,45.429295,-73.836928
Beaconsfield,3,45.431908,-73.84474
Beaconsfield,3,45.430641,-73.853338
Beaconsfield,3,45.426918,-73.858176
Beaconsfield,3,45.428348,-73.862703
Beaconsfield,3,45.42582,-73.870632
Beaconsfield,3,45.431011,-73.869734
Beaconsfield,3,45.433517,-73.86682
Beaconsfield,3,45.435058,-73.870226
Beaconsfield,3,45.43936,-73.869378
Beaconsfield,3,45.440984,-73.873213
Beaconsfield,3,45.437345,-73.878564
Beaconsfield,3,45.435069,-73.884726
Beaconsfield,3,45.431767,-73.889063
Beaconsfield,3,45.431008,-73.877229
Beaconsfield,3,45.43321,-73.874075
Beaconsfield,3,45.435103,-73.877277
Beaconsfield,3,45.423018,-73.882973
Beaconsfield,3,45.425282,-73.878487
Beaconsfield,3,45.423451,-73.875159
Beaconsfield,3,45.423234,-73.864001
Beaconsfield,3,45.416901,-73.885554
Beaconsfield,3,45.418894,-73.889632
Beaconsfield,3,45.419657,-73.894518
Beaconsfield,3,45.423657,-73.890965
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.502117,-73.657338
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.49763,-73.656055
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.499493,-73.653651
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.496512,-73.646908
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.495111,-73.646678
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.496304,-73.644561
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.495015,-73.643111
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.495033,-73.641731
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.494478,-73.640481
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.492622,-73.64117
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.491176,-73.638833
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.490923,-73.637386
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.490308,-73.636104
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.489277,-73.636952
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.488384,-73.637728
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.487337,-73.639156
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.486073,-73.638508
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.484971,-73.639752
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.484521,-73.635392
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.476269,-73.635025
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.474381,-73.637706
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.471109,-73.637461
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.470661,-73.633836
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.471729,-73.632734
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.473214,-73.631442
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.474656,-73.630153
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.473425,-73.627046
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.474594,-73.62598
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.475758,-73.624922
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.477079,-73.623744
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.477523,-73.620487
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.479037,-73.623036
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.476927,-73.616213
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.478241,-73.613281
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.481216,-73.617842
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.485326,-73.619084
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.484958,-73.622259
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.485684,-73.626011
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.487681,-73.624643
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.488265,-73.626566
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.48957,-73.629483
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.49198,-73.62912
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.492589,-73.630513
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.493032,-73.631691
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.491479,-73.632321
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.49193,-73.634677
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.492474,-73.636002
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.494311,-73.634358
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.49472,-73.635265
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.495166,-73.636268
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.495839,-73.637778
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.496455,-73.639156
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.496871,-73.640096
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.49729,-73.641021
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.497706,-73.641949
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.501667,-73.644057
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.5003,-73.641538
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.4993,-73.639212
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.498885,-73.638288
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.498065,-73.637492
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.499832,-73.635457
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.497605,-73.635433
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.497181,-73.63447
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.496728,-73.633473
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.496149,-73.632624
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.495741,-73.631255
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.49373,-73.63306
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.495102,-73.629823
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.494602,-73.628712
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.494017,-73.627368
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.494356,-73.625175
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.49652,-73.626256
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.497243,-73.627914
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.498309,-73.625547
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.499239,-73.624898
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.498283,-73.623029
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.500757,-73.620539
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.498086,-73.621989
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.497015,-73.620947
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.496195,-73.618754
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.495715,-73.616926
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.477339,-73.608674
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.475563,-73.610786
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.474973,-73.611402
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.474408,-73.611956
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.473977,-73.614245
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.471353,-73.616235
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.472713,-73.617952
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.469641,-73.620066
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.468915,-73.615901
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.468295,-73.617107
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.467642,-73.61836
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.467211,-73.619297
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.466455,-73.620754
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.467704,-73.622836
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.466514,-73.625503
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.465898,-73.622607
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.464903,-73.62364
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.464383,-73.624634
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.462446,-73.628045
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.461865,-73.629421
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.461433,-73.630275
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.463743,-73.631701
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.462133,-73.635126
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.464493,-73.63515
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.466178,-73.637655
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.466883,-73.641459
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.468352,-73.640249
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.469839,-73.638947
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.468703,-73.63553
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.46755,-73.631858
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.4685,-73.629769
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.465496,-73.63038
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.46877,-73.625912
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.470422,-73.629753
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.472046,-73.628291
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.470679,-73.62427
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.472937,-73.622218
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.474198,-73.621084
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.475327,-73.620014
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.471244,-73.642734
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.472688,-73.642641
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.471705,-73.645997
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.486347,-73.642871
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.48779,-73.645934
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.488954,-73.644198
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.490198,-73.64553
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.49133,-73.642863
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.492644,-73.645556
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.489552,-73.640102
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.48767,-73.641802
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.489253,-73.64866
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.453955,-73.637845
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.453335,-73.639511
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.455526,-73.640362
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.456336,-73.643717
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.458262,-73.641569
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.459053,-73.647408
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.456174,-73.647233
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.458751,-73.652544
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.460341,-73.655863
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.461849,-73.654054
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.461293,-73.650605
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.46338,-73.650923
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.464446,-73.64806
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.465838,-73.651416
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.466084,-73.646749
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.467808,-73.64955
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.46713,-73.645955
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.467929,-73.645363
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.468493,-73.644889
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.469794,-73.643876
Côte-des-Neiges–Notre-Dame-de-Grâce,4,45.469957,-73.647847
